report_id,timestamp,language,text,person1_id,person2_id,phone_id,account_id,vehicle_id,location_id
RPT00017,2026-02-24 14:51:00,hi,"2026-02-24 को रिकॉर्ड में PERSON_00788 और PERSON_00230 का उल्लेख Zone_0104, Bhopal के आसपास है। नोट में फोन PH00676, खाता ACC01043 और वाहन VEH00290 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00788,P00230,PH00676,ACC01043,VEH00290,LOC0104
RPT00018,2026-01-22 16:32:00,hi,"2026-01-22 को रिकॉर्ड में PERSON_00401 और PERSON_00496 का उल्लेख Zone_0110, Indore के आसपास है। नोट में फोन PH00385, खाता ACC00347 और वाहन VEH00153 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00401,P00496,PH00385,ACC00347,VEH00153,LOC0110
RPT00019,2026-07-17 11:30:00,en,"On 2026-07-17, the record noted that PERSON_00672 was observed with PERSON_00685 near Zone_0132 in Indore. The note references phone PH00350, account ACC01081, and vehicle VEH00320. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00672,P00685,PH00350,ACC01081,VEH00320,LOC0132
RPT00020,2026-01-16 06:08:00,en,"On 2026-01-16, the record noted that PERSON_00200 was observed with PERSON_00247 near Zone_0158 in Jabalpur. The note references phone PH00113, account ACC00345, and vehicle VEH00344. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00200,P00247,PH00113,ACC00345,VEH00344,LOC0158
RPT00021,2026-01-24 23:41:00,en,"On 2026-01-24, the record noted that PERSON_00139 was observed with PERSON_00545 near Zone_0046 in Bhopal. The note references phone PH00477, account ACC01090, and vehicle VEH00251. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00139,P00545,PH00477,ACC01090,VEH00251,LOC0046
RPT00022,2026-07-28 16:03:00,en,"On 2026-07-28, the record noted that PERSON_00699 was observed with PERSON_00065 near Zone_0090 in Gwalior. The note references phone PH00902, account ACC00789, and vehicle VEH00120. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00699,P00065,PH00902,ACC00789,VEH00120,LOC0090
RPT00023,2026-05-28 12:19:00,hi,"2026-05-28 को रिकॉर्ड में PERSON_00574 और PERSON_00298 का उल्लेख Zone_0076, Indore के आसपास है। नोट में फोन PH00348, खाता ACC01082 और वाहन VEH00125 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00574,P00298,PH00348,ACC01082,VEH00125,LOC0076
RPT00024,2026-02-07 13:17:00,hi,"2026-02-07 को रिकॉर्ड में PERSON_00629 और PERSON_00963 का उल्लेख Zone_0076, Indore के आसपास है। नोट में फोन PH00891, खाता ACC01073 और वाहन VEH00214 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00629,P00963,PH00891,ACC01073,VEH00214,LOC0076
RPT00025,2026-06-09 22:14:00,en,"On 2026-06-09, the record noted that PERSON_00656 was observed with PERSON_00713 near Zone_0156 in Bhopal. The note references phone PH00696, account ACC00005, and vehicle VEH00331. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00656,P00713,PH00696,ACC00005,VEH00331,LOC0156
RPT00026,2026-01-03 00:03:00,en,"On 2026-01-03, the record noted that PERSON_00798 was observed with PERSON_00917 near Zone_0148 in Indore. The note references phone PH00010, account ACC00919, and vehicle VEH00182. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00798,P00917,PH00010,ACC00919,VEH00182,LOC0148
RPT00027,2026-01-18 15:51:00,hi,"2026-01-18 को रिकॉर्ड में PERSON_00194 और PERSON_00945 का उल्लेख Zone_0030, Nagpur के आसपास है। नोट में फोन PH00527, खाता ACC00892 और वाहन VEH00074 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00194,P00945,PH00527,ACC00892,VEH00074,LOC0030
RPT00028,2026-06-12 01:43:00,en,"On 2026-06-12, the record noted that PERSON_00983 was observed with PERSON_00466 near Zone_0072 in Indore. The note references phone PH00068, account ACC00403, and vehicle VEH00110. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00983,P00466,PH00068,ACC00403,VEH00110,LOC0072
RPT00029,2026-02-25 19:47:00,en,"On 2026-02-25, the record noted that PERSON_00827 was observed with PERSON_00394 near Zone_0073 in Jabalpur. The note references phone PH00531, account ACC00858, and vehicle VEH00327. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00827,P00394,PH00531,ACC00858,VEH00327,LOC0073
RPT00030,2026-08-07 18:56:00,en,"On 2026-08-07, the record noted that PERSON_00832 was observed with PERSON_00584 near Zone_0090 in Gwalior. The note references phone PH00679, account ACC00996, and vehicle VEH00152. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00832,P00584,PH00679,ACC00996,VEH00152,LOC0090
RPT00031,2026-01-01 20:18:00,hi,"2026-01-01 को रिकॉर्ड में PERSON_00653 और PERSON_00192 का उल्लेख Zone_0057, Ujjain के आसपास है। नोट में फोन PH00437, खाता ACC00663 और वाहन VEH00001 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00653,P00192,PH00437,ACC00663,VEH00001,LOC0057
RPT00032,2026-01-06 03:04:00,en,"On 2026-01-06, the record noted that PERSON_00534 was observed with PERSON_00363 near Zone_0143 in Nagpur. The note references phone PH00146, account ACC00844, and vehicle VEH00242. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00534,P00363,PH00146,ACC00844,VEH00242,LOC0143
RPT00033,2026-05-12 23:09:00,hi,"2026-05-12 को रिकॉर्ड में PERSON_00316 और PERSON_00561 का उल्लेख Zone_0034, Jabalpur के आसपास है। नोट में फोन PH01111, खाता ACC00728 और वाहन VEH00203 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00316,P00561,PH01111,ACC00728,VEH00203,LOC0034
RPT00034,2026-02-19 05:43:00,en,"On 2026-02-19, the record noted that PERSON_00099 was observed with PERSON_00351 near Zone_0062 in Ujjain. The note references phone PH00566, account ACC00097, and vehicle VEH00343. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00099,P00351,PH00566,ACC00097,VEH00343,LOC0062
RPT00035,2026-05-19 18:21:00,en,"On 2026-05-19, the record noted that PERSON_00638 was observed with PERSON_00965 near Zone_0092 in Ujjain. The note references phone PH00775, account ACC00331, and vehicle VEH00013. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00638,P00965,PH00775,ACC00331,VEH00013,LOC0092
RPT00036,2026-07-19 06:53:00,en,"On 2026-07-19, the record noted that PERSON_00509 was observed with PERSON_00751 near Zone_0154 in Ujjain. The note references phone PH00073, account ACC00895, and vehicle VEH00046. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00509,P00751,PH00073,ACC00895,VEH00046,LOC0154
RPT00037,2026-06-03 05:10:00,hi,"2026-06-03 को रिकॉर्ड में PERSON_00083 और PERSON_00259 का उल्लेख Zone_0080, Indore के आसपास है। नोट में फोन PH00235, खाता ACC00293 और वाहन VEH00060 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00083,P00259,PH00235,ACC00293,VEH00060,LOC0080
RPT00038,2026-05-15 16:03:00,hi,"2026-05-15 को रिकॉर्ड में PERSON_00382 और PERSON_00628 का उल्लेख Zone_0131, Gwalior के आसपास है। नोट में फोन PH00233, खाता ACC00803 और वाहन VEH00333 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00382,P00628,PH00233,ACC00803,VEH00333,LOC0131
RPT00039,2026-03-19 14:42:00,hi,"2026-03-19 को रिकॉर्ड में PERSON_00076 और PERSON_00108 का उल्लेख Zone_0146, Bhopal के आसपास है। नोट में फोन PH01160, खाता ACC00511 और वाहन VEH00108 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00076,P00108,PH01160,ACC00511,VEH00108,LOC0146
RPT00040,2026-04-14 13:20:00,en,"On 2026-04-14, the record noted that PERSON_00622 was observed with PERSON_00539 near Zone_0109 in Bhopal. The note references phone PH01136, account ACC00332, and vehicle VEH00102. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00622,P00539,PH01136,ACC00332,VEH00102,LOC0109
RPT00041,2026-07-31 14:27:00,hi,"2026-07-31 को रिकॉर्ड में PERSON_00904 और PERSON_00324 का उल्लेख Zone_0100, Jabalpur के आसपास है। नोट में फोन PH00103, खाता ACC00584 और वाहन VEH00052 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00904,P00324,PH00103,ACC00584,VEH00052,LOC0100
RPT00042,2026-06-09 17:49:00,en,"On 2026-06-09, the record noted that PERSON_00971 was observed with PERSON_00054 near Zone_0030 in Nagpur. The note references phone PH01176, account ACC01197, and vehicle VEH00234. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00971,P00054,PH01176,ACC01197,VEH00234,LOC0030
RPT00043,2026-05-07 04:03:00,en,"On 2026-05-07, the record noted that PERSON_00663 was observed with PERSON_00036 near Zone_0073 in Jabalpur. The note references phone PH01024, account ACC00636, and vehicle VEH00146. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00663,P00036,PH01024,ACC00636,VEH00146,LOC0073
RPT00044,2026-05-12 13:30:00,en,"On 2026-05-12, the record noted that PERSON_00339 was observed with PERSON_00848 near Zone_0148 in Indore. The note references phone PH01162, account ACC00682, and vehicle VEH00321. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00339,P00848,PH01162,ACC00682,VEH00321,LOC0148
RPT00045,2026-05-23 09:12:00,hi,"2026-05-23 को रिकॉर्ड में PERSON_00662 और PERSON_00115 का उल्लेख Zone_0022, Gwalior के आसपास है। नोट में फोन PH00977, खाता ACC01005 और वाहन VEH00168 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00662,P00115,PH00977,ACC01005,VEH00168,LOC0022
RPT00046,2026-03-30 21:08:00,en,"On 2026-03-30, the record noted that PERSON_00320 was observed with PERSON_00235 near Zone_0049 in Nagpur. The note references phone PH00580, account ACC00022, and vehicle VEH00002. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00320,P00235,PH00580,ACC00022,VEH00002,LOC0049
RPT00047,2026-01-11 22:00:00,hi,"2026-01-11 को रिकॉर्ड में PERSON_00189 और PERSON_00009 का उल्लेख Zone_0070, Ujjain के आसपास है। नोट में फोन PH00009, खाता ACC00679 और वाहन VEH00295 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00189,P00009,PH00009,ACC00679,VEH00295,LOC0070
RPT00048,2026-02-04 17:35:00,en,"On 2026-02-04, the record noted that PERSON_00356 was observed with PERSON_00523 near Zone_0033 in Jabalpur. The note references phone PH00372, account ACC00863, and vehicle VEH00311. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00356,P00523,PH00372,ACC00863,VEH00311,LOC0033
RPT00049,2026-07-21 20:54:00,en,"On 2026-07-21, the record noted that PERSON_00917 was observed with PERSON_00069 near Zone_0047 in Ujjain. The note references phone PH00752, account ACC00569, and vehicle VEH00321. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00917,P00069,PH00752,ACC00569,VEH00321,LOC0047
RPT00050,2026-03-17 12:49:00,hi,"2026-03-17 को रिकॉर्ड में PERSON_00688 और PERSON_00292 का उल्लेख Zone_0012, Nagpur के आसपास है। नोट में फोन PH00501, खाता ACC00479 और वाहन VEH00224 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00688,P00292,PH00501,ACC00479,VEH00224,LOC0012
RPT00051,2026-03-16 08:58:00,hi,"2026-03-16 को रिकॉर्ड में PERSON_00470 और PERSON_00074 का उल्लेख Zone_0027, Gwalior के आसपास है। नोट में फोन PH00019, खाता ACC00495 और वाहन VEH00092 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00470,P00074,PH00019,ACC00495,VEH00092,LOC0027
RPT00052,2026-05-05 00:38:00,hi,"2026-05-05 को रिकॉर्ड में PERSON_00816 और PERSON_00493 का उल्लेख Zone_0079, Nagpur के आसपास है। नोट में फोन PH00089, खाता ACC00105 और वाहन VEH00026 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00816,P00493,PH00089,ACC00105,VEH00026,LOC0079
RPT00053,2026-07-10 14:32:00,hi,"2026-07-10 को रिकॉर्ड में PERSON_00283 और PERSON_00820 का उल्लेख Zone_0170, Ujjain के आसपास है। नोट में फोन PH01072, खाता ACC00243 और वाहन VEH00343 के संकेत दर्ज हैं। उपलब्ध रिकॉर्ड बताए गए समय के आसपास गतिविधि दिखाते हैं। यह प्रारंभिक रिकॉर्ड है और किसी गलत कार्य का निष्कर्ष नहीं देता। अतिरिक्त संचार, स्थान और लेनदेन रिकॉर्ड की समीक्षा करके इकाइयों के बीच संबंध और घटनाओं के क्रम का आकलन किया जा सकता है।",P00283,P00820,PH01072,ACC00243,VEH00343,LOC0170
RPT00054,2026-05-27 09:30:00,en,"On 2026-05-27, the record noted that PERSON_00266 was observed with PERSON_00033 near Zone_0161 in Jabalpur. The note references phone PH00072, account ACC01033, and vehicle VEH00277. Available records indicate activity within the surrounding time window. This is an initial record and does not establish wrongdoing. Additional communication, location and transaction records may be reviewed to determine whether the entities are connected and whether the events form a meaningful sequence.",P00266,P00033,PH00072,ACC01033,VEH00277,LOC0161
