digital_id,timestamp,language,text,person1_id,person2_id,location_id
DIG000042,2026-07-23 01:52:00,ur,"PERSON_00928 और PERSON_00893 ने پیغام بھیجا, Zone_0047, Ujjain के पास। समय 2026-07-23 01:52:00.",P00928,P00893,LOC0047
DIG000043,2026-06-05 00:48:00,ml,"PERSON_00215 और PERSON_00878 ने വിളിച്ചു, Zone_0149, Ujjain के पास। समय 2026-06-05 00:48:00.",P00215,P00878,LOC0149
DIG000044,2026-04-23 10:26:00,te,"PERSON_00560 और PERSON_00278 ने ఫోన్ చేశారు, Zone_0133, Indore के पास। समय 2026-04-23 10:26:00.",P00560,P00278,LOC0133
DIG000045,2026-02-03 06:45:00,gu,"PERSON_00150 और PERSON_00410 ने ફોન કર્યો, Zone_0083, Ujjain के पास। समय 2026-02-03 06:45:00.",P00150,P00410,LOC0083
DIG000046,2026-03-04 14:53:00,ta,"PERSON_00788 और PERSON_00510 ने பணம் அனுப்பினார், Zone_0110, Indore के पास। समय 2026-03-04 14:53:00.",P00788,P00510,LOC0110
DIG000047,2026-06-28 03:38:00,ml,"PERSON_00040 और PERSON_00606 ने സന്ദർശിച്ചു, Zone_0046, Bhopal के पास। समय 2026-06-28 03:38:00.",P00040,P00606,LOC0046
DIG000048,2026-02-23 01:37:00,te,"PERSON_00949 और PERSON_00465 ने కలిశారు, Zone_0134, Indore के पास। समय 2026-02-23 01:37:00.",P00949,P00465,LOC0134
DIG000049,2026-02-14 14:36:00,ur,"PERSON_00636 और PERSON_00472 ने پیغام بھیجا, Zone_0044, Bhopal के पास। समय 2026-02-14 14:36:00.",P00636,P00472,LOC0044
DIG000050,2026-06-17 21:37:00,mr,"PERSON_00074 और PERSON_00672 ने संपर्क केला, Zone_0009, Jabalpur के पास। समय 2026-06-17 21:37:00.",P00074,P00672,LOC0009
DIG000051,2026-08-10 21:02:00,te,"PERSON_00503 और PERSON_00585 ने ఫోన్ చేశారు, Zone_0180, Indore के पास। समय 2026-08-10 21:02:00.",P00503,P00585,LOC0180
DIG000052,2026-05-01 06:47:00,ml,"PERSON_00788 और PERSON_00824 ने ബന്ധപ്പെട്ടു, Zone_0046, Bhopal के पास। समय 2026-05-01 06:47:00.",P00788,P00824,LOC0046
DIG000053,2026-04-16 07:35:00,ur,"PERSON_00890 और PERSON_00683 ने ملاقات کی, Zone_0135, Nagpur के पास। समय 2026-04-16 07:35:00.",P00890,P00683,LOC0135
DIG000054,2026-04-24 09:05:00,te,"PERSON_00137 और PERSON_00997 ने డబ్బు పంపారు, Zone_0039, Gwalior के पास। समय 2026-04-24 09:05:00.",P00137,P00997,LOC0039
DIG000055,2026-04-13 18:39:00,hi,"PERSON_00785 और PERSON_00808 ने मिला, Zone_0007, Ujjain के पास। समय 2026-04-13 18:39:00.",P00785,P00808,LOC0007
DIG000056,2026-08-07 16:04:00,mr,"PERSON_00788 और PERSON_00244 ने भेट दिली, Zone_0070, Ujjain के पास। समय 2026-08-07 16:04:00.",P00788,P00244,LOC0070
DIG000057,2026-08-13 08:23:00,gu,"PERSON_00737 और PERSON_00048 ने મળ્યા, Zone_0167, Nagpur के पास। समय 2026-08-13 08:23:00.",P00737,P00048,LOC0167
DIG000058,2026-08-30 15:38:00,en,"PERSON_00073 visited PERSON_00364 near Zone_0011, Gwalior. Record time 2026-08-30 15:38:00.",P00073,P00364,LOC0011
DIG000059,2026-07-29 16:52:00,ta,"PERSON_00104 और PERSON_00171 ने செய்தி அனுப்பினார், Zone_0002, Ujjain के पास। समय 2026-07-29 16:52:00.",P00104,P00171,LOC0002
DIG000060,2026-03-30 12:37:00,ur,"PERSON_00444 और PERSON_00523 ने پیغام بھیجا, Zone_0131, Gwalior के पास। समय 2026-03-30 12:37:00.",P00444,P00523,LOC0131
DIG000061,2026-08-23 15:55:00,mr,"PERSON_00262 और PERSON_00906 ने भेट दिली, Zone_0135, Nagpur के पास। समय 2026-08-23 15:55:00.",P00262,P00906,LOC0135
DIG000062,2026-01-18 00:47:00,kn,"PERSON_00238 और PERSON_00326 ने ಭೇಟಿಯಾದರು, Zone_0032, Jabalpur के पास। समय 2026-01-18 00:47:00.",P00238,P00326,LOC0032
DIG000063,2026-08-19 12:35:00,ta,"PERSON_00849 और PERSON_00567 ने சென்றார், Zone_0045, Gwalior के पास। समय 2026-08-19 12:35:00.",P00849,P00567,LOC0045
DIG000064,2026-08-26 06:50:00,mr,"PERSON_00401 और PERSON_00148 ने संदेश पाठवला, Zone_0014, Bhopal के पास। समय 2026-08-26 06:50:00.",P00401,P00148,LOC0014
DIG000065,2026-07-26 02:08:00,en,"PERSON_00710 used a vehicle PERSON_00825 near Zone_0092, Ujjain. Record time 2026-07-26 02:08:00.",P00710,P00825,LOC0092
DIG000066,2026-03-31 11:08:00,gu,"PERSON_00796 और PERSON_00674 ने મળ્યા, Zone_0120, Ujjain के पास। समय 2026-03-31 11:08:00.",P00796,P00674,LOC0120
DIG000067,2026-07-23 11:30:00,bn,"PERSON_00456 और PERSON_00949 ने পরিদর্শন করেছে, Zone_0097, Ujjain के पास। समय 2026-07-23 11:30:00.",P00456,P00949,LOC0097
DIG000068,2026-03-08 04:46:00,pa,"PERSON_00479 और PERSON_00546 ने ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ, Zone_0049, Nagpur के पास। समय 2026-03-08 04:46:00.",P00479,P00546,LOC0049
DIG000069,2026-03-23 09:51:00,pa,"PERSON_00780 और PERSON_00387 ने ਸੁਨੇਹਾ ਭੇਜਿਆ, Zone_0178, Gwalior के पास। समय 2026-03-23 09:51:00.",P00780,P00387,LOC0178
DIG000070,2026-01-12 11:19:00,ur,"PERSON_00725 और PERSON_00299 ने رقم منتقل کی, Zone_0019, Gwalior के पास। समय 2026-01-12 11:19:00.",P00725,P00299,LOC0019
DIG000071,2026-04-30 10:26:00,kn,"PERSON_00428 और PERSON_00413 ने ಭೇಟಿಯಾದರು, Zone_0018, Bhopal के पास। समय 2026-04-30 10:26:00.",P00428,P00413,LOC0018
DIG000072,2026-01-15 04:50:00,te,"PERSON_00706 और PERSON_00460 ने స్థానం పంచుకున్నారు, Zone_0130, Gwalior के पास। समय 2026-01-15 04:50:00.",P00706,P00460,LOC0130
DIG000073,2026-04-13 23:24:00,ta,"PERSON_00143 और PERSON_00723 ने சந்தித்தார், Zone_0095, Indore के पास। समय 2026-04-13 23:24:00.",P00143,P00723,LOC0095
DIG000074,2026-08-03 05:40:00,bn,"PERSON_00650 और PERSON_00488 ने পরিদর্শন করেছে, Zone_0122, Nagpur के पास। समय 2026-08-03 05:40:00.",P00650,P00488,LOC0122
DIG000075,2026-07-30 09:11:00,mr,"PERSON_00933 और PERSON_00801 ने संपर्क केला, Zone_0092, Ujjain के पास। समय 2026-07-30 09:11:00.",P00933,P00801,LOC0092
DIG000076,2026-01-08 10:53:00,bn,"PERSON_00178 और PERSON_00055 ने বার্তা পাঠিয়েছে, Zone_0011, Gwalior के पास। समय 2026-01-08 10:53:00.",P00178,P00055,LOC0011
DIG000077,2026-01-09 00:20:00,pa,"PERSON_00875 और PERSON_00852 ने ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ, Zone_0072, Indore के पास। समय 2026-01-09 00:20:00.",P00875,P00852,LOC0072
DIG000078,2026-05-14 23:13:00,hi,"PERSON_00625 और PERSON_00225 ने संदेश भेजा, Zone_0060, Ujjain के पास। समय 2026-05-14 23:13:00.",P00625,P00225,LOC0060
DIG000079,2026-05-20 10:34:00,mr,"PERSON_00541 और PERSON_00559 ने ठिकाण शेअर केले, Zone_0162, Nagpur के पास। समय 2026-05-20 10:34:00.",P00541,P00559,LOC0162
DIG000080,2026-06-13 22:45:00,ta,"PERSON_00984 और PERSON_00986 ने தொடர்பு கொண்டார், Zone_0016, Ujjain के पास। समय 2026-06-13 22:45:00.",P00984,P00986,LOC0016
DIG000081,2026-03-16 06:13:00,hi,"PERSON_00802 और PERSON_00062 ने मिला, Zone_0170, Ujjain के पास। समय 2026-03-16 06:13:00.",P00802,P00062,LOC0170
DIG000082,2026-07-03 09:35:00,en,"PERSON_00759 met PERSON_00461 near Zone_0089, Jabalpur. Record time 2026-07-03 09:35:00.",P00759,P00461,LOC0089
DIG000083,2026-07-13 22:11:00,en,"PERSON_00909 contacted PERSON_00813 near Zone_0142, Jabalpur. Record time 2026-07-13 22:11:00.",P00909,P00813,LOC0142
DIG000084,2026-06-10 23:59:00,bn,"PERSON_00218 और PERSON_00192 ने বার্তা পাঠিয়েছে, Zone_0121, Nagpur के पास। समय 2026-06-10 23:59:00.",P00218,P00192,LOC0121
DIG000085,2026-07-14 00:33:00,ta,"PERSON_00653 और PERSON_00547 ने பணம் அனுப்பினார், Zone_0113, Indore के पास। समय 2026-07-14 00:33:00.",P00653,P00547,LOC0113
DIG000086,2026-01-03 05:58:00,en,"PERSON_00645 called PERSON_00119 near Zone_0107, Indore. Record time 2026-01-03 05:58:00.",P00645,P00119,LOC0107
DIG000087,2026-05-24 00:57:00,ta,"PERSON_00086 और PERSON_00223 ने பணம் அனுப்பினார், Zone_0097, Ujjain के पास। समय 2026-05-24 00:57:00.",P00086,P00223,LOC0097
DIG000088,2026-04-05 12:16:00,te,"PERSON_00757 और PERSON_00875 ने సందేశం పంపారు, Zone_0154, Ujjain के पास। समय 2026-04-05 12:16:00.",P00757,P00875,LOC0154
DIG000089,2026-03-29 03:40:00,ur,"PERSON_00715 और PERSON_00358 ने دورہ کیا, Zone_0056, Jabalpur के पास। समय 2026-03-29 03:40:00.",P00715,P00358,LOC0056
DIG000090,2026-05-10 15:33:00,pa,"PERSON_00614 और PERSON_00826 ने ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ, Zone_0001, Gwalior के पास। समय 2026-05-10 15:33:00.",P00614,P00826,LOC0001
DIG000091,2026-05-29 18:10:00,en,"PERSON_00886 met PERSON_00558 near Zone_0120, Ujjain. Record time 2026-05-29 18:10:00.",P00886,P00558,LOC0120
DIG000092,2026-08-19 16:30:00,ta,"PERSON_00746 और PERSON_00247 ने பணம் அனுப்பினார், Zone_0116, Bhopal के पास। समय 2026-08-19 16:30:00.",P00746,P00247,LOC0116
DIG000093,2026-07-26 10:31:00,te,"PERSON_00321 और PERSON_00668 ने స్థానం పంచుకున్నారు, Zone_0143, Nagpur के पास। समय 2026-07-26 10:31:00.",P00321,P00668,LOC0143
DIG000094,2026-03-31 02:00:00,ml,"PERSON_00231 और PERSON_00436 ने സന്ദർശിച്ചു, Zone_0083, Ujjain के पास। समय 2026-03-31 02:00:00.",P00231,P00436,LOC0083
DIG000095,2026-01-30 02:19:00,en,"PERSON_00480 visited PERSON_00170 near Zone_0100, Jabalpur. Record time 2026-01-30 02:19:00.",P00480,P00170,LOC0100
DIG000096,2026-01-31 04:16:00,ta,"PERSON_00122 और PERSON_00465 ने சந்தித்தார், Zone_0029, Nagpur के पास। समय 2026-01-31 04:16:00.",P00122,P00465,LOC0029
DIG000097,2026-02-11 23:48:00,ur,"PERSON_00266 और PERSON_00205 ने فون کیا, Zone_0028, Bhopal के पास। समय 2026-02-11 23:48:00.",P00266,P00205,LOC0028
DIG000098,2026-08-02 09:09:00,ta,"PERSON_00070 और PERSON_00606 ने பணம் அனுப்பினார், Zone_0031, Bhopal के पास। समय 2026-08-02 09:09:00.",P00070,P00606,LOC0031
DIG000099,2026-06-09 20:23:00,ta,"PERSON_00101 और PERSON_00376 ने இடத்தை பகிர்ந்தார், Zone_0152, Nagpur के पास। समय 2026-06-09 20:23:00.",P00101,P00376,LOC0152
DIG000100,2026-06-27 11:16:00,en,"PERSON_00434 transferred funds to PERSON_00791 near Zone_0087, Ujjain. Record time 2026-06-27 11:16:00.",P00434,P00791,LOC0087
DIG000101,2026-03-27 08:41:00,hi,"PERSON_00650 और PERSON_00762 ने संदेश भेजा, Zone_0118, Ujjain के पास। समय 2026-03-27 08:41:00.",P00650,P00762,LOC0118
DIG000102,2026-03-20 12:39:00,te,"PERSON_00616 और PERSON_00195 ने డబ్బు పంపారు, Zone_0033, Jabalpur के पास। समय 2026-03-20 12:39:00.",P00616,P00195,LOC0033
DIG000103,2026-05-24 15:52:00,ur,"PERSON_00987 और PERSON_00271 ने پیغام بھیجا, Zone_0109, Bhopal के पास। समय 2026-05-24 15:52:00.",P00987,P00271,LOC0109
DIG000104,2026-07-29 11:06:00,gu,"PERSON_00439 और PERSON_00216 ने મુલાકાત લીધી, Zone_0118, Ujjain के पास। समय 2026-07-29 11:06:00.",P00439,P00216,LOC0118
DIG000105,2026-05-09 03:25:00,bn,"PERSON_00686 और PERSON_00544 ने পরিদর্শন করেছে, Zone_0116, Bhopal के पास। समय 2026-05-09 03:25:00.",P00686,P00544,LOC0116
DIG000106,2026-01-04 11:30:00,pa,"PERSON_00469 और PERSON_00198 ने ਸੰਪਰਕ ਕੀਤਾ, Zone_0068, Bhopal के पास। समय 2026-01-04 11:30:00.",P00469,P00198,LOC0068
DIG000107,2026-03-13 03:19:00,bn,"PERSON_00032 और PERSON_00824 ने বার্তা পাঠিয়েছে, Zone_0141, Jabalpur के पास। समय 2026-03-13 03:19:00.",P00032,P00824,LOC0141
DIG000108,2026-05-10 19:47:00,ta,"PERSON_00622 और PERSON_00996 ने சென்றார், Zone_0063, Gwalior के पास। समय 2026-05-10 19:47:00.",P00622,P00996,LOC0063
DIG000109,2026-04-23 10:26:00,en,"PERSON_00053 used a vehicle PERSON_00767 near Zone_0026, Nagpur. Record time 2026-04-23 10:26:00.",P00053,P00767,LOC0026
DIG000110,2026-07-10 13:52:00,mr,"PERSON_00291 और PERSON_00239 ने पैसे पाठवले, Zone_0002, Ujjain के पास। समय 2026-07-10 13:52:00.",P00291,P00239,LOC0002
DIG000111,2026-01-10 08:59:00,bn,"PERSON_00331 और PERSON_00789 ने পরিদর্শন করেছে, Zone_0167, Nagpur के पास। समय 2026-01-10 08:59:00.",P00331,P00789,LOC0167
DIG000112,2026-07-27 01:47:00,gu,"PERSON_00009 और PERSON_00903 ने સંદેશ મોકલ્યો, Zone_0127, Bhopal के पास। समय 2026-07-27 01:47:00.",P00009,P00903,LOC0127
DIG000113,2026-07-07 09:16:00,gu,"PERSON_00063 और PERSON_00954 ने ફોન કર્યો, Zone_0151, Indore के पास। समय 2026-07-07 09:16:00.",P00063,P00954,LOC0151
DIG000114,2026-03-15 21:32:00,mr,"PERSON_00544 और PERSON_00269 ने संदेश पाठवला, Zone_0058, Bhopal के पास। समय 2026-03-15 21:32:00.",P00544,P00269,LOC0058
DIG000115,2026-04-17 16:15:00,hi,"PERSON_00476 और PERSON_00651 ने संदेश भेजा, Zone_0033, Jabalpur के पास। समय 2026-04-17 16:15:00.",P00476,P00651,LOC0033
DIG000116,2026-03-24 22:31:00,gu,"PERSON_00913 और PERSON_00883 ने મુલાકાત લીધી, Zone_0130, Gwalior के पास। समय 2026-03-24 22:31:00.",P00913,P00883,LOC0130
DIG000117,2026-01-05 19:30:00,mr,"PERSON_00388 और PERSON_00250 ने फोन केला, Zone_0146, Bhopal के पास। समय 2026-01-05 19:30:00.",P00388,P00250,LOC0146
DIG000118,2026-05-19 00:20:00,en,"PERSON_00424 met PERSON_00290 near Zone_0076, Indore. Record time 2026-05-19 00:20:00.",P00424,P00290,LOC0076
DIG000119,2026-03-08 04:49:00,bn,"PERSON_00045 और PERSON_00048 ने পরিদর্শন করেছে, Zone_0134, Indore के पास। समय 2026-03-08 04:49:00.",P00045,P00048,LOC0134
DIG000120,2026-01-20 12:23:00,ml,"PERSON_00430 और PERSON_00890 ने സന്ദർശിച്ചു, Zone_0083, Ujjain के पास। समय 2026-01-20 12:23:00.",P00430,P00890,LOC0083
DIG000121,2026-05-27 23:00:00,hi,"PERSON_00508 और PERSON_00170 ने फोन किया, Zone_0044, Bhopal के पास। समय 2026-05-27 23:00:00.",P00508,P00170,LOC0044
DIG000122,2026-03-20 02:54:00,gu,"PERSON_00038 और PERSON_00853 ने સંદેશ મોકલ્યો, Zone_0094, Gwalior के पास। समय 2026-03-20 02:54:00.",P00038,P00853,LOC0094
DIG000123,2026-03-28 01:12:00,ml,"PERSON_00110 और PERSON_00826 ने പണം അയച്ചു, Zone_0066, Jabalpur के पास। समय 2026-03-28 01:12:00.",P00110,P00826,LOC0066
DIG000124,2026-07-10 17:19:00,ur,"PERSON_00277 और PERSON_00248 ने رابطہ کیا, Zone_0125, Indore के पास। समय 2026-07-10 17:19:00.",P00277,P00248,LOC0125
DIG000125,2026-05-25 13:29:00,bn,"PERSON_00655 और PERSON_00324 ने টাকা পাঠিয়েছে, Zone_0081, Gwalior के पास। समय 2026-05-25 13:29:00.",P00655,P00324,LOC0081
DIG000126,2026-01-08 18:17:00,ta,"PERSON_00371 और PERSON_00921 ने சென்றார், Zone_0060, Ujjain के पास। समय 2026-01-08 18:17:00.",P00371,P00921,LOC0060
DIG000127,2026-05-28 12:33:00,ml,"PERSON_00816 और PERSON_00206 ने കണ്ടുമുട്ടി, Zone_0060, Ujjain के पास। समय 2026-05-28 12:33:00.",P00816,P00206,LOC0060
DIG000128,2026-07-25 06:53:00,te,"PERSON_00189 और PERSON_00374 ने వెళ్లారు, Zone_0167, Nagpur के पास। समय 2026-07-25 06:53:00.",P00189,P00374,LOC0167
DIG000129,2026-06-21 01:56:00,hi,"PERSON_00894 और PERSON_00305 ने फोन किया, Zone_0002, Ujjain के पास। समय 2026-06-21 01:56:00.",P00894,P00305,LOC0002
DIG000130,2026-05-25 04:34:00,mr,"PERSON_00358 और PERSON_00120 ने पैसे पाठवले, Zone_0064, Ujjain के पास। समय 2026-05-25 04:34:00.",P00358,P00120,LOC0064
DIG000131,2026-06-07 12:21:00,pa,"PERSON_00064 और PERSON_00750 ने ਸੁਨੇਹਾ ਭੇਜਿਆ, Zone_0062, Ujjain के पास। समय 2026-06-07 12:21:00.",P00064,P00750,LOC0062
DIG000132,2026-02-23 13:08:00,pa,"PERSON_00662 और PERSON_00219 ने ਪੈਸੇ ਭੇਜੇ, Zone_0011, Gwalior के पास। समय 2026-02-23 13:08:00.",P00662,P00219,LOC0011
DIG000133,2026-08-29 18:28:00,mr,"PERSON_00116 और PERSON_00346 ने फोन केला, Zone_0159, Nagpur के पास। समय 2026-08-29 18:28:00.",P00116,P00346,LOC0159
DIG000134,2026-04-21 12:20:00,mr,"PERSON_00174 और PERSON_00152 ने संपर्क केला, Zone_0088, Indore के पास। समय 2026-04-21 12:20:00.",P00174,P00152,LOC0088
DIG000135,2026-08-22 16:31:00,bn,"PERSON_00028 और PERSON_00326 ने ফোন করেছে, Zone_0011, Gwalior के पास। समय 2026-08-22 16:31:00.",P00028,P00326,LOC0011
DIG000136,2026-06-05 00:28:00,mr,"PERSON_00356 और PERSON_00679 ने भेटला, Zone_0166, Bhopal के पास। समय 2026-06-05 00:28:00.",P00356,P00679,LOC0166
DIG000137,2026-01-06 04:12:00,te,"PERSON_00779 और PERSON_00071 ने సందేశం పంపారు, Zone_0115, Jabalpur के पास। समय 2026-01-06 04:12:00.",P00779,P00071,LOC0115
DIG000138,2026-03-27 05:34:00,te,"PERSON_00062 और PERSON_00738 ने కలిశారు, Zone_0103, Indore के पास। समय 2026-03-27 05:34:00.",P00062,P00738,LOC0103
DIG000139,2026-04-09 15:54:00,te,"PERSON_00336 और PERSON_00896 ने కలిశారు, Zone_0047, Ujjain के पास। समय 2026-04-09 15:54:00.",P00336,P00896,LOC0047
DIG000140,2026-07-15 13:25:00,pa,"PERSON_00875 और PERSON_00524 ने ਫੋਨ ਕੀਤਾ, Zone_0021, Ujjain के पास। समय 2026-07-15 13:25:00.",P00875,P00524,LOC0021
